item_definition,uni_lemma
책,book
눈,eye
발,foot
개,dog
신/신발,shoe
양말,sock
딸기,strawberry
바나나,banana
귀,ear
손,hand
입,mouth
꽃,flower
모자,hat
바지,pants
고기,meat
귤,tangerine
사과,apple
사탕,candy
머리,head
배,tummy
풍선,balloon
고양이,cat
곰,bear
돼지,pig
새,bird
오리,duck
토끼,bunny
가방,bag
기저귀,diaper
문,door
이불,blanket
김,dried seaweed
아이스크림,ice cream
주스,juice
포도,grapes
배꼽,belly button
약,medicine
컵,cup
기차,train
버스,bus
비행기,airplane
인형,doll
나비,butterfly
말,horse
물고기,fish (animal)
사자,lion
소,cow
코끼리,elephant
호랑이,tiger
옷/꼬까,dress (object)
베개,pillow
의자,chair
치즈,cheese
다리,leg
이/이빨,tooth
전화,telephone
칫솔,toothbrush
나무,tree
배,boat
자전거,bicycle
기린,giraffe
악어,crocodile
방,room
텔레비전,tv
계란/달걀,egg
김치,kimchi
수박,watermelon
요구르트,yogurt
얼굴,face
엉덩이,hip
가위,scissors
비누,soap
수건,towel
숟가락,spoon
시계,clock
안경,glasses
우산,umbrella
포크,fork
휴지,tissue
비,rain
유모차,stroller
개구리,frog
닭,chicken (animal)
하마,hippopotamus
팬티,underpants
냉장고,refrigerator
침대,bed
떡,rice cake
콩,beans
목,neck
팔,arm
돈,money
빗,comb (object)
치약,toothpaste
그네,swing (object)
눈,snow
미끄럼틀,slide (object)
별,star
오토바이,motorcycle
택시,taxi
블록,blocks
연필,pencil
장난감,toy (object)
종이,paper
크레용/크레파스,crayon
개미,ant
거북이,turtle
뱀,snake
병아리,chick
양,sheep
원숭이,monkey
단추,button
장갑,glove
계단,stairs
피아노,piano
화장실,bathroom
고구마,sweet potato
국,soup
껌,gum
당근,carrot
오렌지,orange (food)
초콜렛,chocolate
커피,coffee
케이크,cake
토마토,tomato
고추,penis
손가락,finger
쓰레기통/휴지통,trash can
젓가락,chopstick
칼,knife
달,moon
불,fire
해/햇빛,sun
불자동차/소방차,firetruck
공룡,dinosaur
쥐,mouse
펭귄,penguin
목걸이,necklace
잠바,jacket
주머니,pocket
창문,window
감자,potato
과일,fruit
라면,noodles
옥수수,corn
피자,pizza
똥꼬,butt
머리카락,hair
그릇,bowl
그림,picture
쓰레기,trash
열쇠,key
청소기,vacuum
눈사람,snowman
시소,seesaw
하늘,sky
트럭,truck
선물,present
풀,glue (object)
다람쥐,squirrel
벌레,bug
여우,fox
구두,dress shoe
운동화,sneaker
목욕탕,bathtub
세탁기,washing machine
소파,couch
감,Persimmon
국수,pasta
무/무우,radish
생선,fish (food)
얼음,ice
등,back (body part)
무릎,knee
어깨,shoulder
피,blood
걸레,rag
지갑,wallet
카메라,camera
돌,stone
바람,wind
헬리콥터,helicopter
로봇,robot
비누방울,bubbles
총,gun
벌,bee
비둘기,pigeon
사슴,deer
염소,goat
참새,sparrow
목도리,scarf
치마,skirt
부엌,kitchen
서랍,drawer
밤,nut
쌀,rice
콜라,coke
호박,pumpkin
발톱,fingernail
입술,lip
접시,plate
구름,cloud
모래,sand
동물,animal
부엉이,owl
옷장,closet
닭고기,chicken (food)
땅콩,peanut
배추,cabbage
복숭아,peach
햄버거,hamburger
몸,body
턱,chin
옷걸이,hanger
풀,grass
흙,soil
송아지,calf
허리,waist
혀,tongue
병,bottle
상자,box
길,street
잠옷,pajamas
유리,glass
사이다,soda
설탕,sugar
소금,salt
뺨,cheek
라디오,radio
빗자루,broom
땅,ground
사다리,ladder
음식,food
망치,hammer
썰매,sled
전자레인지,microwave
도너츠,donut
메론,melon
핫도그,hot dog
쟁반,tray
코트/외투,coat
허리띠,belt
스파게티,spaghetti
바위,boulder
지붕,roof
호떡,pancake
발목,ankle
못,nail (object)
